field,field,field,field,field
"11020002","11","20","2","And he sent messengers to Ahab king of Israel into the city, and said to him, Thus saith Ben-hadad,"
"11020003","11","20","3","Thy silver and thy gold is mine; thy wives also and thy children, even the most comely, are mine."
"11020004","11","20","4","And the king of Israel answered and said, My lord, O king, according to thy saying, I am thine, and all that I have."
"11020005","11","20","5","And the messengers came again, and said, Thus speaketh Ben-hadad, saying, Although I have sent to thee, saying, Thou shalt deliver to me thy silver, and thy gold, and thy wives, and thy children;"
"11020006","11","20","6","Yet I will send my servants to thee to-morrow about this time, and they shall search thy house, and the houses of thy servants; and it shall be, that whatever is pleasant in thy eyes, they shall take it in their hand, and carry it away."
"11020007","11","20","7","Then the king of Israel called all the elders of the land, and said, Mark, I pray you, and see how this man seeketh mischief: for he sent to me for my wives, and for my children, and for my silver, and for my gold, and I denied him not."
"11020008","11","20","8","And all the elders and all the people said to him, Hearken not to him, nor consent."
"11020009","11","20","9","Wherefore he said to the messengers of Ben-hadad, Tell my lord the king, All that thou didst send for to thy servant at the first, I will do: but this thing I may not do. And the messengers departed, and brought him word again."
"11020010","11","20","10","And Ben-hadad sent to him, and said, The gods do so to me, and more also, if the dust of Samaria shall suffice for handfuls for all the people that follow me."
"11020011","11","20","11","And the king of Israel answered and said, Tell him, Let not him that girdeth on his harness boast himself as he that putteth it off."
"11020012","11","20","12","And it came to pass, when Ben-hadad heard this message as he was drinking, he and the kings in the pavilions, that he said to his servants, Set yourselves in array. And they set themselves in array against the city."
"11020013","11","20","13","And behold, there came a prophet to Ahab king of Israel, saying, Thus saith the LORD, Hast thou seen all this great multitude? behold, I will deliver it into thy hand this day; and thou shalt know that I am the LORD."
"11020014","11","20","14","And Ahab said, By whom? And he said, Thus saith the LORD, Even by the young men of the princes of the provinces. Then he said, Who shall order the battle? And he answered, Thou."
"11020015","11","20","15","Then he numbered the young men of the princes of the provinces, and they were two hundred and thirty two: and after them he numbered all the people, even all the children of Israel, being seven thousand."
"11020016","11","20","16","And they went out at noon. But Ben-hadad was drinking himself drunk in the pavilions, he and the kings, the thirty and two kings that helped him."
"11020017","11","20","17","And the young men of the princes of the provinces went out first; and Ben-hadad sent out, and they told him, saying, There are men come out of Samaria."
"11020018","11","20","18","And he said, Whether they have come out for peace, take them alive; or whether they have come out for war, take them alive."
"11020019","11","20","19","So these young men of the princes of the provinces came out of the city, and the army which followed them."
"11020020","11","20","20","And they slew every one his man: and the Syrians fled; and Israel pursued them: and Ben-hadad the king of Syria escaped on a horse with the horsemen."
"11020021","11","20","21","And the king of Israel went out, and smote the horses and chariots, and slew the Syrians with a great slaughter."
"11020022","11","20","22","And the prophet came to the king of Israel, and said to him, Go, strengthen thyself, and mark, and see what thou doest: for at the return of the year the king of Syria will come up against thee."
"11020023","11","20","23","And the servants of the king of Syria said to him, Their gods are gods of the hills; therefore they were stronger than we; but let us fight against them in the plain, and surely we shall be stronger than they."
"11020024","11","20","24","And do this thing, Take the kings away, every man out of his place, and put captains in their rooms:"
"11020025","11","20","25","And number thee an army, like the army that thou hast lost, horse for horse, and chariot for chariot: and we will fight against them in the plain, and surely we shall be stronger than they. And he hearkened to their voice, and did so."
"11020026","11","20","26","And it came to pass at the return of the year, that Ben-hadad numbered the Syrians, and went up to Aphek, to fight against Israel."
"11020027","11","20","27","And the children of Israel were numbered, and were all present, and went against them: and the children of Israel encamped before them like two little flocks of kids; but the Syrians filled the country."
"11020028","11","20","28","And there came a man of God, and spoke to the king of Israel, and said, Thus saith the LORD, Because the Syrians have said, The LORD is God of the hills, but he is not God of the valleys, therefore will I deliver all this great multitude into thy hand, and ye shall know that I am the LORD."
"11020029","11","20","29","And they encamped one over against the other seven days. And so it was, that in the seventh day the battle was joined: and the children of Israel slew of the Syrians a hundred thousand footmen in one day."
"11020030","11","20","30","But the rest fled to Aphek, into the city; and there a wall fell upon twenty and seven thousand of the men that were left. And Ben-hadad fled, and came into the city, into an inner chamber."
"11020031","11","20","31","And his servants said to him, Behold now, we have heard that the kings of the house of Israel are merciful kings: let us, I pray thee, put sackcloth on our loins, and ropes upon our heads, and go out to the king of Israel: it may be he will save thy life."
"11020032","11","20","32","So they girded sackcloth on their loins, and put ropes on their heads, and came to the king of Israel, and said, Thy servant Ben-hadad saith, I pray thee, let me live. And he said, Is he yet alive? he is my brother."
"11020033","11","20","33","Now the men diligently observed whether any thing would come from him, and did hastily catch it: and they said, Thy brother Ben-hadad. Then he said, Go ye, bring him. Then Ben-hadad came forth to him; and he caused him to come up into the chariot."
"11020034","11","20","34","And Ben-hadad said to him, The cities, which my father took from thy father, I will restore; and thou shalt make streets for thee in Damascus, as my father made in Samaria. Then said Ahab, I will send thee away with this covenant. So he made a covenant with him, and sent him away."
"11020035","11","20","35","And a certain man of the sons of the prophets said to his neighbor in the word of the LORD, Smite me, I pray thee. And the man refused to smite him."
"11020036","11","20","36","Then said he to him, Because thou hast not obeyed the voice of the LORD, behold, as soon as thou hast departed from me, a lion will slay thee. And as soon as he had departed from him, a lion found him, and slew him."
"11020037","11","20","37","Then he found another man, and said, Smite me, I pray thee. And the man smote him, so that in smiting he wounded him."
"11020038","11","20","38","So the prophet departed, and waited for the king by the way, and disguised himself with ashes upon his face."
"11020039","11","20","39","And as the king passed by, he cried to the king: and he said, Thy servant went out into the midst of the battle; and behold, a man turned aside, and brought a man to me, and said, Keep this man: if by any means he shall be missing, then shall thy life be for his life, or else thou shalt pay a talent of silver."
"11020040","11","20","40","And as thy servant was busy here and there, he was gone. And the king of Israel said to him, So shall thy judgment be; thyself hast decided it."
"11020041","11","20","41","And he hasted, and took the ashes away from his face; and the king of Israel discerned him that he was of the prophets."
"11020042","11","20","42","And he said to him, Thus saith the LORD, Because thou hast let go out of thy hand a man whom I appointed to utter destruction, therefore thy life shall go for his life, and thy people for his people."
"11020043","11","20","43","And the king of Israel went to his house heavy and displeased, and came to Samaria."
"11021001","11","21","1","And it came to pass after these things, that Naboth the Jezreelite had a vineyard, which was in Jezreel, hard by the palace of Ahab king of Samaria."
"11021002","11","21","2","And Ahab spoke to Naboth, saying, Give me thy vineyard, that I may have it for a garden of herbs, because it is near to my house: and I will give thee for it a better vineyard than it; or if it seemeth good to thee, I will give thee the worth of it in money."
"11021003","11","21","3","And Naboth said to Ahab, The LORD forbid it me, that I should give the inheritance of my fathers to thee."
"11021004","11","21","4","And Ahab came into his house heavy and displeased, because of the word which Naboth the Jezreelite had spoken to him: for he had said, I will not give thee the inheritance of my fathers. And he laid himself down upon his bed, and turned away his face, and would eat no bread."
"11021005","11","21","5","But Jezebel his wife came to him, and said to him, Why is thy spirit so sad, that thou eatest no bread?"
"11021006","11","21","6","And he said to her, Because I spoke to Naboth the Jezreelite, and said to him, Give me thy vineyard for money; or else, if it pleaseth thee, I will give thee another vineyard for it: and he answered, I will not give thee my vineyard."
"11021007","11","21","7","And Jezebel his wife said to him, Dost thou now govern the kingdom of Israel? arise, and eat bread, and let thy heart be merry: I will give thee the vineyard of Naboth the Jezreelite."
"11021008","11","21","8","So she wrote letters in Ahab's name, and sealed them with his seal, and sent the letters to the elders and to the nobles that were in his city, dwelling with Naboth."
"11021009","11","21","9","And she wrote in the letters, saying, Proclaim a fast, and set Naboth on high among the people:"
"11021010","11","21","10","And set two men, sons of Belial, before him, to bear witness against him, saying, Thou didst blaspheme God and the king. And then carry him out, and stone him, that he may die."
"11021011","11","21","11","And the men of his city, even the elders and the nobles who were the inhabitants in his city, did as Jezebel had sent to them, and as it was written in the letters which she had sent to them."
"11021012","11","21","12","They proclaimed a fast, and set Naboth on high among the people."
"11021013","11","21","13","And there came in two men, children of Belial, and sat before him: and the men of Belial witnessed against him, even against Naboth, in the presence of the people, saying, Naboth blasphemed God and the king. Then they carried him forth out of the city, and stoned him with stones, that he died."
"11021014","11","21","14","Then they sent to Jezebel, saying, Naboth is stoned, and is dead."
"11021015","11","21","15","And it came to pass, when Jezebel heard that Naboth was stoned, and was dead, that Jezebel said to Ahab, Arise, take possession of the vineyard of Naboth the Jezreelite, which he refused to give thee for money: for Naboth is not alive, but dead."
"11021016","11","21","16","And it came to pass, when Ahab heard that Naboth was dead, that Ahab arose to go down to the vineyard of Naboth the Jezreelite, to take possession of it."
"11021017","11","21","17","And the word of the LORD came to Elijah the Tishbite, saying,"
"11021018","11","21","18","Arise, go down to meet Ahab king of Israel, who is in Samaria: behold, he is in the vineyard of Naboth, whither he is gone down to possess it."
"11021019","11","21","19","And thou shalt speak to him, saying, Thus saith the LORD, Hast thou killed, and also taken possession? And thou shalt speak to him, saying, Thus saith the LORD, In the place where dogs licked the blood of Naboth shall dogs lick thy blood, even thine."
"11021020","11","21","20","And Ahab said to Elijah, Hast thou found me, O my enemy? And he answered, I have found thee: because thou hast sold thyself to work evil in the sight of the LORD."
"11021021","11","21","21","Behold, I will bring evil upon thee, and will take away thy posterity, and will cut off from Ahab the males, and him that is shut up and left in Israel,"
"11021022","11","21","22","And will make thy house like the house of Jeroboam the son of Nebat, and like the house of Baasha the son of Ahijah, for the provocation with which thou hast provoked me to anger, and made Israel to sin."
"11021023","11","21","23","And of Jezebel also spoke the LORD, saying, the dogs shall eat Jezebel by the wall of Jezreel."
"11021024","11","21","24","Him that dieth of Ahab in the city the dogs shall eat; and him that dieth in the field shall the fowls of the air eat."
"11021025","11","21","25","But there was none like Ahab, who sold himself to work wickedness in the sight of the LORD, whom Jezebel his wife instigated."
"11021026","11","21","26","And he did very abominably in following idols, according to all things as did the Amorites, whom the LORD cast out before the children of Israel."
"11021027","11","21","27","And it came to pass, when Ahab heard those words, that he rent his clothes, and put sackcloth upon his flesh, and fasted, and lay in sackcloth, and went softly."
"11021028","11","21","28","And the word of the LORD came to Elijah the Tishbite, saying,"
"11021029","11","21","29","Seest thou how Ahab humbleth himself before me? because he humbleth himself before me, I will not bring the evil in his days: but in his son's days will I bring the evil upon his house."
"11022001","11","22","1","And they continued three years without war between Syria and Israel."
"11022002","11","22","2","And it came to pass in the third year, that Jehoshaphat the king of Judah came down to the king of Israel."
"11022003","11","22","3","And the king of Israel said to his servants, Know ye that Ramoth in Gilead is ours, and we are still, and take it not out of the hand of the king of Syria?"
"11022004","11","22","4","And he said to Jehoshaphat, Wilt thou go with me to battle to Ramoth-gilead? And Jehoshaphat said to the king of Israel, I am as thou art, my people as thy people, my horses as thy horses."
"11022005","11","22","5","And Jehoshaphat said to the king of Israel, Inquire, I pray thee, at the word of the LORD to-day."
"11022006","11","22","6","Then the king of Israel assembled the prophets, about four hundred men, and said to them, Shall I go against Ramoth-gilead to battle, or shall I forbear? And they said, Go up; for the Lord will deliver it into the hand of the king."
"11022007","11","22","7","And Jehoshaphat said, Is there not here a prophet of the LORD besides, that we may inquire of him?"
"11022008","11","22","8","And the king of Israel said to Jehoshaphat, There is yet one man, Micaiah the son of Imlah, by whom we may inquire of the LORD: but I hate him; for he doth not prophesy good concerning me, but evil. And Jehoshaphat said, Let not the king say so."
"11022009","11","22","9","Then the king of Israel called an officer, and said, Hasten hither Micaiah the son of Imlah."
"11022010","11","22","10","And the king of Israel and Jehoshaphat the king of Judah sat each on his throne, having put on their robes, in a void place in the entrance of the gate of Samaria; and all the prophets prophesied before them."
"11022011","11","22","11","And Zedekiah the son of Chenaanah made him horns of iron: and he said, Thus saith the LORD, With these shalt thou push the Syrians, until thou hast consumed them."
"11022012","11","22","12","And all the prophets prophesied so, saying, Go up to Ramoth-gilead, and prosper: for the LORD will deliver it into the king's hand."
"11022013","11","22","13","And the messenger that went to call Micaiah, spoke to him, saying, Behold now, the words of the prophets declare good to the king with one mouth: let thy word, I pray thee, be like the word of one of them, and speak that which is good."
"11022014","11","22","14","And Micaiah said, As the LORD liveth, what the LORD saith to me, that will I speak."
"11022015","11","22","15","So he came to the king. And the king said to him, Micaiah, shall we go against Ramoth-gilead to battle, or shall we forbear? And he answered him, Go, and prosper: for the LORD will deliver it into the hand of the king."
"11022016","11","22","16","And the king said to him, How many times shall I adjure thee that thou tell me nothing but that which is true in the name of the LORD?"
"11022017","11","22","17","And he said, I saw all Israel scattered upon the hills, as sheep that have not a shepherd: and the LORD said, These have no master: let them return every man to his house in peace."
"11022018","11","22","18","And the king of Israel said to Jehoshaphat, Did I not tell thee that he would prophesy no good concerning me, but evil?"
"11022019","11","22","19","And he said, Hear thou therefore the word of the LORD: I saw the LORD sitting on his throne, and all the host of heaven standing by him on his right hand and on his left."
"11022020","11","22","20","And the LORD said, Who shall persuade Ahab, that he may go up and fall at Ramoth-gilead? And one said in this manner, and another said in that manner."
"11022021","11","22","21","And there came forth a spirit, and stood before the LORD, and said, I will persuade him."
"11022022","11","22","22","And the LORD said to him, With what? And he said, I will go forth, and I will be a lying spirit in the mouth of all his prophets? And he said, Thou shalt persuade him, and prevail also: go forth, and do so."
"11022023","11","22","23","Now therefore, behold, the LORD hath put a lying spirit in the mouth of all these thy prophets, and the LORD hath spoken evil concerning thee."
"11022024","11","22","24","But Zedekiah the son of Chenaanah went near, and smote Micaiah on the cheek, and said, Which way went the Spirit of the LORD from me to speak to thee?"
"11022025","11","22","25","And Micaiah said, Behold, thou shalt see in that day, when thou shalt go into an inner chamber to hide thyself."
"11022026","11","22","26","And the king of Israel said, Take Micaiah, and carry him back to Amon the governor of the city, and to Joash the king's son;"
"11022027","11","22","27","And say, Thus saith the king, Put this man in the prison, and feed him with bread of affliction, and with water of affliction, until I come in peace."
"11022028","11","22","28","And Micaiah said, If thou shalt return at all in peace, the LORD hath not spoken by me. And he said, Hearken, O people, every one of you."
"11022029","11","22","29","So the king of Israel and Jehoshaphat the king of Judah went up to Ramoth-gilead."
"11022030","11","22","30","And the king of Israel said to Jehoshaphat, I will disguise myself, and enter into the battle; but put thou on thy robes. And the king of Israel disguised himself, and went into the battle."
"11022031","11","22","31","But the king of Syria commanded his thirty and two captains that had rule over his chariots, saying, Fight neither with small nor great, save only with the king of Israel."
"11022032","11","22","32","And it came to pass, when the captains of the chariots saw Jehoshaphat, that they said, Surely it is the king of Israel. And they turned aside to fight against him: and Jehoshaphat cried out."
"11022033","11","22","33","And it came to pass, when the captains of the chariots perceived that it was not the king of Israel, that they turned back from pursuing him."
"11022034","11","22","34","And a certain man drew a bow at a venture, and smote the king of Israel between the joints of the harness: wherefore he said to the driver of his chariot, Turn thy hand, and carry me out of the host; for I am wounded."
"11022035","11","22","35","And the battle increased that day: and the king was stayed up in his chariot against the Syrians, and died at evening: and the blood ran out of the wound into the midst of the chariot."
"11022036","11","22","36","And there went a proclamation throughout the host about the setting of the sun, saying, Every man to his city, and every man to his own country."
"11022037","11","22","37","So the king died, and was brought to Samaria; and they buried the king in Samaria."
"11022038","11","22","38","And one washed the chariot in the pool of Samaria; and the dogs licked up his blood; and they washed his armor; according to the word of the LORD which he spoke."
"11022039","11","22","39","Now the rest of the acts of Ahab, and all that he did, and the ivory house which he made, and all the cities that he built, are they not written in the book of the chronicles of the kings of Israel?"
"11022040","11","22","40","So Ahab slept with his fathers; and Ahaziah his son reigned in his stead."
"11022041","11","22","41","And Jehoshaphat the son of Asa began to reign over Judah in the fourth year of Ahab king of Israel."
"11022042","11","22","42","Jehoshaphat was thirty and five years old when he began to reign; and he reigned twenty and five years in Jerusalem. And his mother's name was Azubah the daughter of Shilhi."
"11022043","11","22","43","And he walked in all the way of Asa his father; he turned not aside from it, doing that which was right in the eyes of the LORD:\"
"11022044","11","22","44","nevertheless the high places were not taken away; for the people offered and burnt incense yet in the high places."
"11022045","11","22","45","And Jehoshaphat made peace with the king of Israel."
"11022046","11","22","46","Now the rest of the acts of Jehoshaphat, and his might that he showed, and how he warred, are they not written in the book of the chronicles of the kings of Judah?"
"11022047","11","22","47","And the remnant of the sodomites, which remained in the days of his father Asa, he removed from the land."
"11022048","11","22","48","There was then no king in Edom: a deputy was king."
"11022049","11","22","49","Jehoshaphat made ships of Tharshish to go to Ophir for gold: but they went not; for the ships were broken at Ezion-geber."
"11022050","11","22","50","Then said Ahaziah the son of Ahab to Jehoshaphat, Let my servants go with thy servants in the ships. But Jehoshaphat would not."
"11022051","11","22","51","And Jehoshaphat slept with his fathers, and was buried with his fathers in the city of David his father: and Jehoram his son reigned in his stead."
"11022052","11","22","52","Ahaziah the son of Ahab began to reign over Israel in Samaria the seventeenth year of Jehoshaphat king of Judah, and reigned two years over Israel."
"11022053","11","22","53","And he did evil in the sight of the LORD, and walked in the way of his father, and in the way of his mother, and in the way of Jeroboam the son of Nebat, who made Israel to sin:"
"11022054","11","22","54","For he served Baal, and worshiped him, and provoked to anger the LORD God of Israel, according to all that his father had done."
"12001001","12","1","1","Then Moab rebelled against Israel after the death of Ahab."
"12001002","12","1","2","And Ahaziah fell down through a lattice in his upper chamber that was in Samaria, and was sick: and he sent messengers, and said to them, Go, inquire of Baal-zebub the god of Ekron, whether I shall recover from this disease."
"12001003","12","1","3","But the angel of the LORD said to Elijah the Tishbite, Arise, go up to meet the messengers of the king of Samaria, and say to them, Is it not because there is not a God in Israel, that ye go to inquire of Baal-zebub the god of Ekron?"
"12001004","12","1","4","Now therefore thus saith the LORD, Thou shalt not come down from that bed on which thou art gone up, but shalt surely die. And Elijah departed."
"12001005","12","1","5","And when the messengers turned back to him, he said to them, Why have ye now returned?"
"12001006","12","1","6","And they said to him, There came up a man to meet us, and said to us, Go, turn again to the king that sent you, and say to him, Thus saith the LORD, Is it not because there is not a God in Israel, that thou sendest to inquire of Baal-zebub the god of Ekron? therefore thou shalt not come down from that bed on which thou art gone up, but shalt surely die."
"12001007","12","1","7","And he said to them, What manner of man was he who came up to meet you, and told you these words?"
"12001008","12","1","8","And they answered him, He was a hairy man, and girt with a girdle of leather about his loins. And he said, It is Elijah the Tishbite."
"12001009","12","1","9","Then the king sent to him a captain of fifty with his fifty. And he went up to him: and behold, he sat on the top of a hill. And he spoke to him, Thou man of God, the king hath said, Come down."
"12001010","12","1","10","And Elijah answered and said to the captain of fifty, If I am a man of God, then let fire come down from heaven, and consume thee and thy fifty. And there came down fire from heaven, and consumed him and his fifty."
"12001011","12","1","11","Again also he sent to him another captain of fifty with his fifty. And he answered and said to him, O man of God, thus hath the king said, Come down quickly."
"12001012","12","1","12","And Elijah answered and said to them, If I am a man of God, let fire come down from heaven, and consume thee and thy fifty. And the fire of God came down from heaven, and consumed him and his fifty."
"12001013","12","1","13","And he sent again a captain of the third fifty with his fifty. And the third captain of fifty went up, and came and fell on his knees before Elijah, and besought him, and said to him, O man of God, I pray thee, let my life, and the life of these fifty thy servants, be precious in thy sight."
"12001014","12","1","14","Behold, there came fire down from heaven, and burnt up the two captains of the former fifties with their fifties: therefore let my life now be precious in thy sight."
"12001015","12","1","15","And the angel of the LORD said to Elijah, Go down with him: be not afraid of him. And he arose, and went down with him to the king."
"12001016","12","1","16","And he said to him, Thus saith the LORD, Forasmuch as thou hast sent messengers to inquire of Baal-zebub the god of Ekron, is it not because there is no God in Israel to inquire of his word? therefore thou shalt not come down off that bed on which thou art gone up, but shalt surely die."
"12001017","12","1","17","So he died according to the word of the LORD which Elijah had spoken. And Jehoram reigned in his stead in the second year of Jehoram the son of Jehoshaphat king of Judah; because he had no son."
"12001018","12","1","18","Now the rest of the acts of Ahaziah which he did, are they not written in the book of the chronicles of the kings of Israel?"
"12002001","12","2","1","And it came to pass, when the LORD would take up Elijah into heaven by a whirlwind, that Elijah went with Elisha from Gilgal."
"12002002","12","2","2","And Elijah said to Elisha, Tarry here, I pray thee; for the LORD hath sent me to Beth-el. And Elisha said, As the LORD liveth, and as thy soul liveth, I will not leave thee. So they went down to Beth-el."
"12002003","12","2","3","And the sons of the prophets that were at Beth-el came forth to Elisha, and said to him, Knowest thou that the LORD will take away thy master from thy head to-day? And he said, Yes, I know it; hold ye your peace."
"12002004","12","2","4","And Elijah said to him, Elisha, tarry here, I pray thee; for the LORD hath sent me to Jericho. And he said, As the LORD liveth, and as thy soul liveth, I will not leave thee. So they came to Jericho."
"12002005","12","2","5","And the sons of the prophets that were at Jericho came to Elisha, and said to him, Knowest thou that the LORD will take away thy master from thy head to-day? And he answered, Yes, I know it; hold ye your peace."
"12002006","12","2","6","And Elijah said to him, Tarry here, I pray thee; for the LORD hath sent me to Jordan. And he said, As the LORD liveth, and as thy soul liveth, I will not leave thee. And they two went on."
"12002007","12","2","7","And fifty men of the sons of the prophets went, and stood to view afar off: and they two stood by Jordan."
"12002008","12","2","8","And Elijah took his mantle, and wrapped it together, and smote the waters, and they were divided hither and thither, so that they two went over on dry ground."
"12002009","12","2","9","And it came to pass, when they had gone over, that Elijah said to Elisha, Ask what I shall do for thee, before I am taken away from thee. And Elisha said, I pray thee, let a double portion of thy spirit be upon me."
"12002010","12","2","10","And he said, Thou hast asked a hard thing: nevertheless, if thou shalt see me when I am taken from thee, it shall be so to thee; but if not, it shall not be so."
"12002011","12","2","11","And it came to pass, as they still went on, and talked, that behold, there appeared a chariot of fire, and horses of fire, and parted them both asunder; and Elijah went up by a whirlwind into heaven."
"12002012","12","2","12","And Elisha saw it, and he cried, My father, my father, the chariot of Israel, and the horsemen thereof. And he saw him no more: and he took hold of his own clothes, and rent them in two pieces."
"12002013","12","2","13","He took up also the mantle of Elijah that fell from him, and went back, and stood by the bank of Jordan;"
"12002014","12","2","14","And he took the mantle of Elijah that fell from him, and smote the waters, and said, Where is the LORD God of Elijah? And when he also had smitten the waters, they parted hither and thither: and Elisha went over."
"12002015","12","2","15","And when the sons of the prophets who were to view at Jericho, saw him, they said, The spirit of Elijah doth rest on Elisha. And they came to meet him, and bowed themselves to the ground before him."
"12002016","12","2","16","And they said to him, Behold now, there are with thy servants fifty strong men; let them go, we pray thee, and seek thy master: lest perhaps the Spirit of the LORD hath taken him up, and cast him upon some mountain, or into some valley. And he said, Ye shall not send."
"12002017","12","2","17","And when they urged him till he was ashamed, he said, Send. They sent therefore fifty men; and they sought three days, but found him not."
"12002018","12","2","18","And when they came again to him, (for he tarried at Jericho,) he said to them, Did I not say to you, Go not?"
"12002019","12","2","19","And the men of the city said to Elisha, Behold, I pray thee, the situation of this city is pleasant, as my lord seeth: but the water is bad, and the ground barren."
"12002020","12","2","20","And he said, Bring me a new cruse, and put salt therein. And they brought it to him."
"12002021","12","2","21","And he went forth to the spring of the waters, and cast the salt in there, and said, Thus saith the LORD, I have healed these waters; there shall not be from thence any more death or barren land."
"12002022","12","2","22","So the waters were healed to this day, according to the saying of Elisha which he spoke."
"12002023","12","2","23","And he went up from thence to Beth-el: and as he was going up by the way, there came forth little children out of the city, and mocked him, and said to him, Go up, thou bald-head; go up, thou bald-head."
"12002024","12","2","24","And he turned back, and looked on them, and cursed them in the name of the LORD. And there came forth two she bears out of the wood, and tore forty and two children of them."
"12002025","12","2","25","And he went from thence to mount Carmel, and from thence he returned to Samaria."
"12003001","12","3","1","Now Jehoram the son of Ahab began to reign over Israel in Samaria in the eighteenth year of Jehoshaphat king of Judah, and reigned twelve years."
"12003002","12","3","2","And he wrought evil in the sight of the LORD; but not like his father, and like his mother: for he put away the image of Baal that his father had made."
"12003003","12","3","3","Nevertheless, he cleaved to the sins of Jeroboam the son of Nebat, who made Israel to sin; he departed not therefrom."
"12003004","12","3","4","And Mesha king of Moab was a sheep-master, and rendered to the king of Israel a hundred thousand lambs, and a hundred thousand rams, with the wool."
"12003005","12","3","5","But it came to pass, when Ahab was dead, that the king of Moab rebelled against the king of Israel."
"12003006","12","3","6","And king Jehoram went out of Samaria the same time, and numbered all Israel."
"12003007","12","3","7","And he went and sent to Jehoshaphat the king of Judah, saying, The king of Moab hath rebelled against me: wilt thou go with me against Moab to battle? And he said, I will go: I am as thou art, my people as thy people, and my horses as thy horses."
"12003008","12","3","8","And he said, which way shall we go up? And he answered, The way through the wilderness of Edom."
"12003009","12","3","9","So the king of Israel went, and the king of Judah, and the king of Edom: and they fetched a compass of seven days' journey: and there was no water for the army, and for the cattle that followed them."
"12003010","12","3","10","And the king of Israel said, Alas! that the LORD hath called these three kings together, to deliver them into the hand of Moab!"
"12003011","12","3","11","But Jehoshaphat said, Is there not here a prophet of the LORD, that we may inquire of the LORD by him? And one of the king of Israel's servants answered and said, Here is Elisha the son of Shaphat, who poured water on the hands of Elijah."
"12003012","12","3","12","And Jehoshaphat said, The word of the LORD is with him. So the king of Israel and Jehoshaphat and the king of Edom went down to him."
"12003013","12","3","13","And Elisha said to the king of Israel, What have I to do with thee? go to the prophets of thy father, and to the prophets of thy mother. And the king of Israel said to him, No: for the LORD hath called these three kings together, to deliver them into the hand of Moab."
"12003014","12","3","14","And Elisha said, As the LORD of hosts liveth, before whom I stand, surely, were it not that I regard the presence of Jehoshaphat the king of Judah, I would not look towards thee, nor see thee."
"12003015","12","3","15","But now bring me a minstrel. And it came to pass, when the minstrel played, that the hand of the LORD came upon him."
"12003016","12","3","16","And he said, Thus saith the LORD, Make this valley full of ditches."
"12003017","12","3","17","For thus saith the LORD, Ye shall not see wind, neither shall ye see rain; yet that valley shall be filled with water, that ye may drink, both ye, and your cattle, and your beasts."
"12003018","12","3","18","And this is but a light thing in the sight of the LORD: he will deliver the Moabites also into your hand."
"12003019","12","3","19","And ye shall smite every fortified city, and every choice city, and shall fell every good tree, and stop all wells of water, and mar every good piece of land with stones."
"12003020","12","3","20","And it came to pass in the morning, when the meat-offering was offered, that behold, there came water by the way of Edom, and the country was filled with water."
"12003021","12","3","21","And when all the Moabites heard that the kings were come up to fight against them, they gathered all that were able to put on armor, and upward, and stood in the border."
"12003022","12","3","22","And they rose early in the morning, and the sun shone upon the water, and the Moabites saw the water on the other side as red as blood:"
"12003023","12","3","23","And they said, This is blood: the kings are surely slain, and they have smitten one another: now therefore, Moab, to the spoil."
"12003024","12","3","24","And when they came to the camp of Israel, the Israelites rose and smote the Moabites, so that they fled before them: but they went forward smiting the Moabites, even in their country."
"12003025","12","3","25","And they beat down the cities, and on every good piece of land cast every man his stone, and filled it; and they stopped all the wells of water, and felled all the good trees: only in Kirhara-seth they left the stones of it; but the slingers went about it, and smote it."
"12003026","12","3","26","And when the king of Moab saw that the battle was too severe for him, he took with him seven hundred men that drew swords, to break through to the king of Edom: but they could not."
"12003027","12","3","27","Then he took his eldest son that was to reign in his stead, and offered him for a burnt-offering upon the wall. And there was great indignation against Israel: And they departed from him, and returned to their own land."
"12004001","12","4","1","Now there cried a certain woman of the wives of the sons of the prophets to Elisha, saying, Thy servant my husband is dead; and thou knowest that thy servant feared the LORD: and the creditor hath come to take to him my two sons to be bond-men."
"12004002","12","4","2","And Elisha said to her, What shall I do for thee? tell me, what hast thou in the house? And she said, Thy handmaid hath not any thing in the house, save a pot of oil."
"12004003","12","4","3","Then he said, Go, borrow thee vessels abroad of all thy neighbors, even empty vessels; borrow not a few."
"12004004","12","4","4","And when thou hast come in, thou shalt shut the door upon thee and upon thy sons, and shalt pour out into all those vessels, and thou shalt set aside that which is full."
"12004005","12","4","5","So she went from him, and shut the door upon her and upon her sons, who brought the vessels to her; and she poured out."
"12004006","12","4","6","And it came to pass, when the vessels were full, that she said to her son, Bring me yet a vessel. And he said to her, There is not a vessel more. And the oil stayed."
"12004007","12","4","7","Then she came and told the man of God. And he said, Go, sell the oil, and pay thy debt, and live thou and thy children on the remainder."
"12004008","12","4","8","And it fell on a day, that Elisha passed to Shunem, where was a distinguished woman; and she constrained him to eat bread. And so it was, that as oft as he passed by, he turned in thither to eat bread."
"12004009","12","4","9","And she said to her husband, Behold now, I perceive that this is a holy man of God, who passeth by us continually."
"12004010","12","4","10","Let us make a little chamber, I pray thee, on the wall; and let us set for him there a bed, and a table, and a stool, and a candlestick: and it shall be, when he cometh to us, that he shall turn in thither."
"12004011","12","4","11","And it fell on a day, that he came thither, and he turned into the chamber, and lay there."
"12004012","12","4","12","And he said to Gehazi his servant, Call this Shunamite. And when he had called her, she stood before him."
